,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed (mph),Country,Date
0,Qinhuangdao,39.9317,119.5883,69.96,25,4,15.12,CN,1620357497
1,Bredasdorp,-34.5322,20.0403,60.8,88,83,11.5,ZA,1620357418
2,Nikolskoye,59.7035,30.7861,42.8,87,90,4.47,RU,1620357385
3,Mataura,-46.1927,168.8643,57.99,79,73,0.13,NZ,1620357406
4,Punta Arenas,-53.15,-70.9167,42.8,87,75,9.22,CL,1620357269
5,Albany,42.6001,-73.9662,50.0,66,100,5.14,US,1620357398
6,Geraldton,-28.7667,114.6,71.6,64,4,17.27,AU,1620357453
7,Ushuaia,-54.8,-68.3,41.0,75,40,5.57,AR,1620357369
8,Cherskiy,68.75,161.3,30.94,89,100,3.36,RU,1620357429
9,Manono,-7.3,27.4167,67.35,89,79,2.64,CD,1620357498
10,Mossamedes,-15.1961,12.1522,74.35,86,43,5.06,AO,1620357499
11,Mar del Plata,-38.0023,-57.5575,54.0,87,20,3.44,AR,1620357366
12,Barra do Garças,-15.89,-52.2567,63.91,68,8,5.41,BR,1620357421
13,Acurenam,1.0322,10.6488,68.13,99,100,2.06,GQ,1620357489
14,Kaitangata,-46.2817,169.8464,61.0,62,68,4.0,NZ,1620357379
15,Bambous Virieux,-20.3428,57.7575,73.0,100,75,3.44,MU,1620357422
16,Manokwari,-0.8667,134.0833,84.22,71,87,5.61,ID,1620357274
17,Tupik,54.4253,119.9327,43.86,61,78,11.99,RU,1620357500
18,Carnarvon,-24.8667,113.6333,75.2,60,1,13.8,AU,1620357298
19,Sakaiminato,35.55,133.2333,73.4,46,75,18.41,JP,1620357500
20,Mayo,38.8876,-76.5119,54.0,76,1,4.97,US,1620357500
21,Cidreira,-30.1811,-50.2056,58.28,73,36,10.69,BR,1620357410
22,Hobart,-42.8794,147.3294,71.01,52,75,17.27,AU,1620357080
23,Gimli,50.6336,-96.9907,41.0,56,10,10.36,CA,1620357462
24,Kavieng,-2.5744,150.7967,84.13,73,21,5.88,PG,1620357501
25,Vila Velha,-20.3297,-40.2925,73.4,88,0,2.3,BR,1620357490
26,Saldanha,-33.0117,17.9442,59.0,88,76,5.75,ZA,1620357502
27,Narsaq,60.9167,-46.05,35.6,75,75,4.61,GL,1620357487
28,Caruray,10.3094,119.0128,91.4,66,20,11.5,PH,1620357502
29,Tuktoyaktuk,69.4541,-133.0374,28.4,86,90,14.97,CA,1620357440
30,New Norfolk,-42.7826,147.0587,71.01,73,97,1.01,AU,1620357393
31,Kapaa,22.0752,-159.319,75.99,83,75,10.36,US,1620357372
32,Mahébourg,-20.4081,57.7,69.8,100,75,3.44,MU,1620357385
33,Shahreza,32.0339,51.8794,64.08,30,17,2.71,IR,1620357503
34,Tamworth,52.634,-1.6959,39.0,85,50,5.01,GB,1620357503
35,Lucea,18.451,-78.1736,78.8,78,20,4.61,JM,1620357503
36,Harper,4.375,-7.7169,78.22,84,100,5.32,LR,1620357504
37,Golfito,8.639,-83.166,75.27,93,100,1.03,CR,1620357368
38,Ambanja,-13.6833,48.45,72.77,93,10,3.27,MG,1620357504
39,Aksu,41.1231,80.2644,75.27,11,100,0.56,CN,1620357367
40,Chui,-33.6971,-53.4616,52.83,76,90,8.72,UY,1620357504
41,Barrow,71.2906,-156.7887,14.0,79,1,5.75,US,1620357370
42,Atasū,48.6814,71.6433,63.82,42,100,8.19,KZ,1620357372
43,Świnoujście,53.9105,14.2471,36.0,87,97,7.54,PL,1620357370
44,Porto Velho,-8.7619,-63.9039,77.0,83,40,8.05,BR,1620357505
45,Arraial do Cabo,-22.9661,-42.0278,73.31,82,0,6.53,BR,1620357409
46,Avarua,-21.2078,-159.775,71.6,73,75,17.27,CK,1620357368
47,Pevek,69.7008,170.3133,30.18,81,8,3.29,RU,1620357446
48,Rome,43.2128,-75.4557,39.99,70,1,1.3,US,1620357506
49,Kumul,42.8,93.45,81.27,5,8,4.18,CN,1620357506
50,Thompson,55.7435,-97.8558,32.0,69,20,3.44,CA,1620357305
51,Vao,-22.6667,167.4833,76.44,75,79,10.45,NC,1620357506
52,Busselton,-33.65,115.3333,63.0,85,81,1.01,AU,1620357371
53,Madimba,-10.4,40.3333,71.22,71,100,14.61,TZ,1620357507
54,Hermanus,-34.4187,19.2345,59.0,97,100,4.0,ZA,1620357191
55,Airai,-8.9266,125.4092,67.91,77,98,2.64,TL,1620357438
56,Port Alfred,-33.5906,26.891,67.32,84,76,14.36,ZA,1620357386
57,Bemidji,47.4736,-94.8803,41.0,42,1,5.75,US,1620357261
58,Najrān,17.4924,44.1277,77.0,23,75,4.61,SA,1620357507
59,Cape Town,-33.9258,18.4232,60.01,94,75,14.97,ZA,1620357383
60,Sitka,57.0531,-135.33,51.8,76,90,6.91,US,1620357450
61,Jalu,29.0331,21.5482,85.28,11,23,10.04,LY,1620357417
62,Hofn,64.2539,-15.2082,33.33,59,25,11.79,IS,1620357508
63,Bluff,-46.6,168.3333,57.99,79,90,0.96,NZ,1620357366
64,Atagay,55.1033,99.3875,42.85,73,100,9.78,RU,1620357509
65,Swan River,52.1058,-101.2676,35.6,51,10,1.14,CA,1620357509
66,Abhā,18.2164,42.5053,60.8,44,0,2.66,SA,1620357393
67,Khorixas,-20.3667,14.9667,67.05,56,19,5.3,NA,1620357510
68,Butaritari,3.0707,172.7902,84.31,75,100,15.03,KI,1620357381
69,Weyburn,49.6668,-103.8511,42.8,26,0,9.22,CA,1620357510
70,Hilo,19.7297,-155.09,78.8,65,40,9.22,US,1620357386
71,Saskylakh,71.9167,114.0833,24.6,89,92,4.52,RU,1620357405
72,Mabaruma,8.2,-59.7833,72.64,97,87,2.82,GY,1620357510
73,Soyo,-6.1349,12.3689,76.57,83,100,3.89,AO,1620357511
74,Pilar,-9.5972,-35.9567,73.4,94,75,2.3,BR,1620357438
75,Pak Phanang,8.3511,100.202,88.0,94,40,2.3,TH,1620357306
76,Bethel,41.3712,-73.414,52.0,66,1,4.61,US,1620357176
77,Lazurne,46.084,32.5295,48.0,100,38,6.15,UA,1620357511
78,Alofi,-19.0595,-169.9187,80.6,83,75,12.66,NU,1620357370
79,Simpang,-1.2667,104.0833,85.55,69,100,2.95,ID,1620357512
80,Mangochi,-14.4782,35.2645,58.35,91,77,5.57,MW,1620357512
81,George Town,5.4112,100.3354,87.8,74,20,4.61,MY,1620357359
82,General Pico,-35.6566,-63.7568,47.98,69,0,7.52,AR,1620357468
83,Talnakh,69.4865,88.3972,34.56,99,100,6.24,RU,1620357512
84,Yumen,40.2833,97.2,76.78,4,69,14.14,CN,1620357513
85,Khatanga,71.9667,102.5,35.8,77,100,16.22,RU,1620357373
86,Panguna,-6.3164,155.4848,80.87,70,78,3.36,PG,1620357513
87,Tucuruí,-3.7661,-49.6725,73.2,93,84,3.24,BR,1620357513
88,Amambai,-23.1042,-55.2258,53.13,95,100,8.97,BR,1620357514
89,Longyearbyen,78.2186,15.6401,15.8,67,20,14.97,SJ,1620357429
90,Praia da Vitória,38.7333,-27.0667,64.4,88,40,19.24,PT,1620357514
91,São João da Barra,-21.6403,-41.0511,73.51,83,0,6.98,BR,1620357515
92,Antsohihy,-14.8796,47.9875,71.56,95,7,2.15,MG,1620357515
93,City of San Pedro,14.35,121.0167,89.6,66,75,8.05,PH,1620357515
94,Xichang,27.8964,102.2634,61.27,81,100,7.11,CN,1620357515
95,Poltavka,54.3663,71.7632,52.5,39,0,14.36,RU,1620357516
96,Torbay,47.6666,-52.7314,36.0,100,90,8.05,CA,1620357455
97,Rikitea,-23.1203,-134.9692,78.17,77,100,12.48,PF,1620357379
98,Yagodnoye,62.55,149.6667,33.67,75,99,2.48,RU,1620357516
99,Natal,-5.795,-35.2094,78.8,89,75,4.61,BR,1620357517
100,Jamestown,42.097,-79.2353,42.01,60,75,4.61,US,1620357380
101,Mansôa,12.0733,-15.3189,73.27,66,90,3.49,GW,1620357517
102,Lipari,38.4674,14.954,62.01,69,100,1.99,IT,1620357517
103,Qaanaaq,77.484,-69.3632,19.09,80,19,5.7,GL,1620357435
104,Zvishavane,-20.3267,30.0665,53.53,72,8,1.92,ZW,1620357518
105,Saint-Augustin,51.226,-58.6502,39.51,85,100,16.4,CA,1620357411
106,Yar-Sale,66.8333,70.8333,31.44,97,100,18.68,RU,1620357518
107,Cândido Mendes,-1.4467,-45.7167,73.67,94,29,2.35,BR,1620357518
108,Halifax,44.6453,-63.5724,43.0,75,100,8.05,CA,1620357480
109,Marquette,46.5333,-87.6335,37.99,84,37,4.16,US,1620357430
110,Tasiilaq,65.6145,-37.6368,28.4,86,90,3.44,GL,1620357391
111,Tateyama,34.9833,139.8667,68.0,82,75,10.36,JP,1620357519
112,Camacha,33.0833,-16.3333,60.8,72,20,5.75,PT,1620357483
113,Lebu,-37.6167,-73.65,52.5,84,38,6.98,CL,1620357412
114,Port Elizabeth,-33.918,25.5701,59.0,88,0,8.05,ZA,1620357411
115,Grindavik,63.8424,-22.4338,32.0,74,20,10.36,IS,1620357520
116,Eyrarbakki,63.863,-21.1481,30.2,64,0,3.44,IS,1620357520
117,Castro,-24.7911,-50.0119,53.67,95,100,4.41,BR,1620357404
118,Saint Paul Harbor,57.79,-152.4072,51.8,37,1,10.36,US,1620357374
119,Troitskoye,52.9821,84.6757,62.49,65,100,8.3,RU,1620357520
120,Kaputa,-8.4689,29.6619,66.27,85,75,5.3,ZM,1620357521
121,Tiksi,71.6872,128.8694,29.88,90,100,14.47,RU,1620357395
122,Bukama,-9.2,25.85,67.55,91,60,2.24,CD,1620357521
123,Hirado,33.3597,129.5531,66.2,68,75,6.91,JP,1620357521
124,Iqaluit,63.7506,-68.5145,30.2,93,90,10.36,CA,1620357453
125,Provideniya,64.3833,-173.3,33.8,64,0,13.42,RU,1620357489
126,Kiruna,67.8557,20.2251,24.8,100,90,6.91,SE,1620357522
127,Innisfail,-17.5333,146.0333,76.06,64,2,6.51,AU,1620357522
128,Tobermory,45.2501,-81.6665,41.0,81,91,8.05,CA,1620357522
129,Naryan-Mar,67.6713,53.087,27.39,86,11,6.44,RU,1620357523
130,Durban,-29.8579,31.0292,66.0,94,100,2.3,ZA,1620357293
131,Ancud,-41.8697,-73.8203,42.01,100,20,5.75,CL,1620357264
132,Esperance,-33.8667,121.9,68.0,68,40,9.22,AU,1620357475
133,Puerto Ayora,-0.7393,-90.3518,73.0,90,3,6.35,EC,1620357408
134,Vidim,56.4088,103.1106,39.31,77,98,6.78,RU,1620357524
135,Álamos,27.0167,-108.9333,80.01,38,0,2.8,MX,1620357524
136,Phalaborwa,-23.943,31.1411,64.4,88,0,3.44,ZA,1620357524
137,Mogadishu,2.0371,45.3438,79.11,84,100,12.86,SO,1620357126
138,Norman Wells,65.282,-126.8329,55.4,38,40,10.36,CA,1620357391
139,Staritsa,56.5075,34.9354,37.54,92,51,9.31,RU,1620357525
140,Srednekolymsk,67.45,153.6833,32.2,84,36,9.64,RU,1620357447
141,Riyadh,24.6877,46.7219,78.8,15,0,8.57,SA,1620357360
142,Nivala,63.9167,24.9667,30.99,78,100,3.0,FI,1620357525
143,Mugur-Aksy,50.35,90.5,57.31,32,78,4.5,RU,1620357525
144,Zabid,14.1951,43.3152,84.42,68,96,7.05,YE,1620357526
145,Northampton,40.8754,-75.2499,50.0,78,100,4.54,US,1620357395
146,Ponta do Sol,32.6667,-17.1,57.99,60,71,5.01,PT,1620357371
147,Qasigiannguit,68.8193,-51.1922,32.0,74,90,5.75,GL,1620357526
148,Vaini,-21.2,-175.2,77.0,83,75,14.97,TO,1620357367
149,Alice Springs,-23.7,133.8833,82.4,9,93,5.75,AU,1620357526
150,Jiangyou,31.7667,104.7167,73.45,65,100,7.2,CN,1620357527
151,Yellowknife,62.456,-114.3525,51.8,35,20,8.05,CA,1620357253
152,Atuona,-9.8,-139.0333,80.46,69,23,20.11,PF,1620357387
153,Sholokhove,47.6945,34.0312,47.39,90,65,5.53,UA,1620357527
154,Katsuura,35.1333,140.3,66.2,82,75,2.3,JP,1620357423
155,Udachny,66.4167,112.4,35.76,66,94,2.3,RU,1620357528
156,Bantogon,6.5333,124.0333,86.32,65,94,5.86,PH,1620357528
157,Newport,51.5877,-2.9984,35.01,86,1,7.11,GB,1620357528
158,Decatur,39.8403,-88.9548,48.99,87,90,3.44,US,1620357529
159,Kahului,20.8947,-156.47,80.6,57,40,10.36,US,1620357256
160,Constitución,-35.3333,-72.4167,56.03,72,89,6.51,CL,1620357529
161,San Felipe,10.3399,-68.7425,71.24,97,100,2.91,VE,1620357529
162,Lorengau,-2.0226,147.2712,84.29,75,95,6.53,PG,1620357441
163,Ostrovnoy,68.0531,39.5131,29.25,89,100,24.87,RU,1620357384
164,Bengkulu,-3.8004,102.2655,82.58,68,99,2.35,ID,1620357445
165,Saint-François,46.4154,3.9054,50.0,87,75,5.75,FR,1620357530
166,Hambantota,6.1241,81.1185,82.4,94,20,3.44,LK,1620357437
167,Reconquista,-29.15,-59.65,46.78,72,0,5.32,AR,1620357530
168,Dickinson,29.4608,-95.0513,73.99,68,1,4.79,US,1620357410
169,Haines Junction,60.7522,-137.5108,50.0,50,100,4.61,CA,1620357457
170,Saint-Philippe,-21.3585,55.7679,72.0,78,20,5.75,RE,1620357414
171,Beloha,-25.1667,45.05,64.71,84,52,6.17,MG,1620357531
172,Quatre Cocos,-20.2078,57.7625,73.0,100,75,3.44,MU,1620357531
173,Coyhaique,-45.5752,-72.0662,30.2,93,29,1.14,CL,1620357378
174,Bundaberg,-24.85,152.35,78.8,36,6,8.05,AU,1620357532
175,Gualeguay,-33.1416,-59.3097,45.25,68,0,1.57,AR,1620357532
176,Bosaso,11.2842,49.1816,85.64,65,37,6.11,SO,1620357532
177,Hachinohe,40.5,141.5,64.99,39,100,4.0,JP,1620357532
178,Vila,42.0304,-8.1588,53.01,89,18,2.91,PT,1620357533
179,Ouadda,8.0777,22.4007,69.19,93,100,3.13,CF,1620357533
180,Saint George,37.1041,-113.5841,86.0,10,1,5.75,US,1620357305
181,Leningradskiy,69.3833,178.4167,23.79,85,17,8.77,RU,1620357391
182,Davila,18.4726,120.5763,89.6,70,75,9.22,PH,1620357534
183,Dumas,35.8656,-101.9732,66.99,42,1,11.5,US,1620357534
184,Zhigansk,66.7697,123.3711,38.68,62,98,9.15,RU,1620357378
185,Lompoc,34.6391,-120.4579,53.6,82,6,10.36,US,1620357389
186,Taoudenni,22.6783,-3.9836,83.55,19,1,8.68,ML,1620357429
187,Hasaki,35.7333,140.8333,66.0,88,75,6.91,JP,1620357424
188,Portland,45.5234,-122.6762,55.0,66,39,1.99,US,1620357186
189,Prince George,53.9166,-122.753,63.0,41,90,16.11,CA,1620357305
190,Ayan,56.45,138.1667,33.19,80,100,22.97,RU,1620357535
191,Malé,4.1748,73.5089,84.2,84,75,5.75,MV,1620357487
192,Xining,36.6167,101.7667,57.54,19,0,3.24,CN,1620357397
193,Vyazemskiy,47.5378,134.7525,66.76,46,68,6.82,RU,1620357535
194,Ahipara,-35.1667,173.1667,66.81,64,100,12.41,NZ,1620357535
195,Hualmay,-11.0964,-77.6139,66.06,84,35,7.07,PE,1620357428
196,Avera,33.194,-82.5271,60.8,67,1,3.44,US,1620357442
197,Kearney,40.6995,-99.0815,57.2,50,75,9.22,US,1620357373
198,Buala,-8.145,159.5921,85.96,69,42,10.54,SB,1620357536
199,Makakilo City,21.3469,-158.0858,78.8,65,1,5.75,US,1620357536
200,Faanui,-16.4833,-151.75,82.63,68,13,12.39,PF,1620357384
201,Sand,50.0,10.6,43.0,94,100,1.01,DE,1620357538
202,Hithadhoo,-0.6,73.0833,83.89,72,40,3.78,MV,1620357393
203,Vila Franca do Campo,37.7167,-25.4333,62.6,100,75,6.91,PT,1620357460
204,Calatrava,10.595,123.4838,87.8,66,75,5.75,PH,1620357538
205,Ribeira Grande,38.5167,-28.7,63.37,90,67,22.82,PT,1620357403
206,Biltine,14.5333,20.9167,87.85,15,94,6.24,TD,1620357539
207,Eufaula,31.8913,-85.1455,62.01,72,0,6.98,US,1620357539
208,Nishihara,26.1842,127.7558,82.4,78,75,20.71,JP,1620357539
209,Dingle,10.9995,122.6711,91.0,50,27,14.7,PH,1620357401
210,Deputatsky,69.3,139.9,27.46,90,100,4.74,RU,1620357397
211,Severo-Kuril'sk,50.6789,156.125,37.8,91,93,11.03,RU,1620357366
212,Qaqortoq,60.7167,-46.0333,35.6,75,75,4.61,GL,1620357423
213,San Jose,37.3394,-121.895,63.0,67,20,14.97,US,1620357245
214,Kibakwe,-6.7167,36.3667,60.01,95,96,2.28,TZ,1620357540
215,Darhan,49.4867,105.9228,50.22,54,76,11.95,MN,1620357540
216,Tilichiki,60.4667,166.1,30.27,97,73,4.34,RU,1620357541
217,Along,28.1667,94.7667,77.85,71,55,0.69,IN,1620357541
218,Snåase,64.2457,12.3778,27.75,77,16,2.75,NO,1620357541
219,Zykovo,55.9519,93.1461,53.6,58,0,13.42,RU,1620357541
220,Sinnamary,5.3833,-52.95,77.9,86,100,7.92,GF,1620357542
221,Sola,-13.8833,167.55,86.0,84,52,4.61,VU,1620357542
222,Arrondissement de Narbonne,43.0833,2.8333,62.01,61,100,8.01,FR,1620357542
223,Lagoa,39.05,-27.9833,63.03,86,43,27.85,PT,1620357428
224,Jiexiu,37.0244,111.9125,65.12,15,1,10.56,CN,1620357543
225,Houma,29.5958,-90.7195,68.0,88,1,7.45,US,1620357339
226,Erenhot,43.6475,111.9767,60.03,13,41,24.38,CN,1620357543
227,Sibu,2.3,111.8167,80.6,83,40,4.61,MY,1620357544
228,Ishigaki,24.3448,124.1572,84.2,79,75,14.97,JP,1620357544
229,Caravelas,-17.7125,-39.2481,73.92,87,100,5.35,BR,1620357424
230,Aripuanã,-9.1667,-60.6333,73.56,82,79,2.82,BR,1620357544
231,Basqal,40.7552,48.391,45.32,82,100,2.15,AZ,1620357545
232,Chojnice,53.6955,17.557,37.99,75,100,2.08,PL,1620357443
233,Nizhnevartovsk,60.9344,76.5531,39.2,87,40,8.95,RU,1620357336
234,Slave Lake,55.2834,-114.769,62.6,27,20,18.41,CA,1620357304
235,Dikson,73.5069,80.5464,27.0,91,99,16.6,RU,1620357365
236,Salay,8.8592,124.7892,93.0,58,100,10.47,PH,1620357545
237,East London,-33.0153,27.9116,64.4,94,0,9.22,ZA,1620357388
238,Brandfort,-28.7001,26.4597,53.6,82,90,1.14,ZA,1620357546
239,Tura,25.5198,90.2201,81.55,60,92,2.62,IN,1620357392
240,Mandurah,-32.55,115.7,66.0,80,15,1.99,AU,1620357320
241,Bestöbe,52.4994,73.0975,56.32,38,88,10.98,KZ,1620357546
242,Cabo San Lucas,22.8909,-109.9124,77.0,60,1,11.5,MX,1620357437
243,Takoradze,4.8845,-1.7554,78.78,85,93,8.7,GH,1620357547
244,Los Andes,-32.8337,-70.5983,66.99,50,0,4.61,CL,1620357547
245,Beringovskiy,63.05,179.3167,29.59,80,81,6.73,RU,1620357547
246,Shihezi,44.3,86.0333,82.89,14,33,2.64,CN,1620357548
247,Mattru,7.6244,-11.8332,76.44,93,100,1.39,SL,1620357548
248,Husavik,66.0449,-17.3389,30.2,93,90,5.75,IS,1620357460
249,Pisco,-13.7,-76.2167,66.2,88,90,2.3,PE,1620357488
250,Saint-Pierre,-21.3393,55.4781,72.0,78,20,5.75,RE,1620357549
251,Beasain,43.0502,-2.2009,60.01,80,100,0.45,ES,1620357549
252,Yulara,-25.2406,130.9889,78.8,25,100,8.05,AU,1620357488
253,Meulaboh,4.1363,96.1285,83.77,72,69,2.06,ID,1620357389
254,Oranjemund,-28.55,16.4333,54.09,96,14,2.84,NA,1620357550
255,Beberibe,-4.1797,-38.1306,82.0,94,75,4.61,BR,1620357550
256,Mahon,39.8885,4.2658,59.0,94,75,9.22,ES,1620357370
257,Lüderitz,-26.6481,15.1594,57.67,79,0,12.57,NA,1620357382
258,West Bay,19.3667,-81.4167,82.0,89,20,3.44,KY,1620357550
259,Wyndham,37.6985,-77.6125,52.0,81,1,5.14,US,1620357551
260,Sigli,5.3848,95.9609,84.33,69,93,2.08,ID,1620357551
261,Kasongo-Lunda,-6.4667,16.8167,66.67,98,100,1.97,CD,1620357551
262,Skellefteå,64.7507,20.9528,33.01,74,90,6.91,SE,1620357552
263,Coahuayana Viejo,18.7333,-103.6833,73.67,79,20,0.47,MX,1620357456
264,Bocas del Toro,9.3333,-82.25,63.0,100,71,4.59,PA,1620357552
265,Upernavik,72.7868,-56.1549,17.96,98,40,6.85,GL,1620357477
266,Kismayo,-0.3582,42.5454,77.7,90,93,10.96,SO,1620357552
267,Cururupu,-1.8283,-44.8683,73.04,94,55,0.98,BR,1620357553
268,Assiut,27.181,31.1837,78.8,36,0,6.91,EG,1620357553
269,Aleksandro-Nevskiy,53.4751,40.2095,46.0,81,100,7.78,RU,1620357553
270,Derazhnya,49.2692,27.4338,42.08,85,99,7.52,UA,1620357554
271,Bulawayo,-20.15,28.5833,53.1,66,5,8.79,ZW,1620357554
272,Barberton,-25.7884,31.0532,64.0,100,90,4.61,ZA,1620357554
273,Keshod,21.3,70.25,86.05,53,0,8.93,IN,1620357555
274,Cayenne,4.9333,-52.3333,75.99,100,20,2.3,GF,1620357448
275,Moa,20.6569,-74.9403,75.72,82,3,10.63,CU,1620357555
276,High Level,58.5169,-117.136,60.8,29,75,11.5,CA,1620357555
277,Mujiayingzi,42.1167,118.7833,60.3,22,22,25.43,CN,1620357556
278,Savalou,7.9281,1.9756,74.61,87,100,3.15,BJ,1620357556
279,Sovetskiy,61.3614,63.5842,40.64,51,3,14.29,RU,1620357556
280,Sisimiut,66.9395,-53.6735,30.18,83,8,6.11,GL,1620357557
281,Celestún,20.8667,-90.4,80.29,75,51,13.24,MX,1620357557
282,Kampong Thom,12.7111,104.8887,87.42,57,100,4.94,KH,1620357558
283,Marawi,7.9986,124.2928,93.0,58,100,6.98,PH,1620357401
